,Status,Brkr Code,Side,Security,Exch Code,Qty,LmtPx,TIF,FillQty,AvgPx,Data Export Restricted,Data Export Restricted,Data Export Restricted,Data Export Restricted,AvgPx Vs OMS Benchmark Px (Bps),FillQty % Avg Vol 20D,Avg Vol 20D,Data Export Restricted,Volatil 30D,Bid Ask Sprd,Handling Inst,% Filled,GICS Sector,Working Qty,Curncy,Strategy Name,Data Export Restricted,Create Time (As of)
MODR,Filled,ICBI,Sell,IEF,UQ,1397,MKT,DAY,1397,96.18,,,,,,0.093329691226199,1496844.125,,5.75734946920403,0.01,AUTO,100,,0,USD,NONE,,02/11/26
MODR,Filled,ICBI,Sell,IEF,UQ,200,MKT,DAY,200,96.18,,,,,,0.0133614446995274,1496844.125,,5.75734946920403,0.01,AUTO,100,,0,USD,NONE,,02/11/26
MODR,Filled,ICBI,Buy,3905,JT,2000,MKT,GTD,2000,1935,,,,,,0.0556716928926733,3592490,,176.6471,10,MAN,100,Information Technology,0,JPY,NONE,,02/11/26
MODR,Filled,ICBI,Buy,MSFT,UW,40,MKT,DAY,40,416.2,,,,,,0.000318381805371292,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/11/26
MODR,Filled,ICBI,Buy,MSFT,UW,38,MKT,DAY,38,416.2,,,,,,0.000302462715102727,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/11/26
MODR,Filled,ICBI,Buy,MSFT,UW,36,MKT,DAY,36,416.2,,,,,,0.000286543624834163,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/11/26
MODR,Filled,ICBI,Sell,IEF,UQ,330,MKT,DAY,330,96.18,,,,,,0.0220463837542202,1496844.125,,5.75734946920403,0.01,AUTO,100,,0,USD,NONE,,02/11/26
MODR,Filled,ICBI,Sell,TLT,UQ,2353,MKT,DAY,2353,88.02,,,,,,0.030060850545768,7827456.5,,9.57929758935427,0.01,AUTO,100,,0,USD,NONE,,02/11/26
MODR,Filled,BTIA,Buy,MCHI,UQ,1002,MKT,DAY,1002,61.87,,,,,,0.143543381626716,698046.8125,,22.6147359162623,0.01,ANY,100,,0,USD,CARE,,02/10/26
MODR,Filled,ICBI,Buy,GLDM,UP,3000,100,GTC,3000,100,,,,,,0.34373698678009,872760.3125,,25.6417676048973,0.01,MAN,100,,0,USD,NONE,,02/10/26
MODR,Filled,ICBI,Buy,NBIS,UW,1600,95,GTC,1600,92.8,,,,,,0.0313706944579649,5100301.5,,106.539927473037,0.32,MAN,100,Information Technology,0,USD,NONE,,02/10/26
MODR,Filled,ICBI,Buy,COPX,UP,1700,90,GTC,1700,88.58,,,,,,0.220909453357121,769546.0625,,61.5701222033281,0.07,MAN,100,,0,USD,NONE,,02/10/26
MODR,Filled,ICBI,Buy,MU,UW,650,390,GTC,650,376.59,,,,,,0.00440925990708129,14741703,,110.163922961562,1.19,MAN,100,Information Technology,0,USD,NONE,,02/10/26
MODR,Filled,BTIA,Buy,PAVE,UF,500,50,GTC,500,50,,,,,,0.317990111699989,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,02/10/26
MODR,Filled,ICBI,Buy,SHOP,UW,300,MKT,GTC,300,122.69,,,,,,0.0102615691067937,2923529.5,,57.2559259807873,0.03,MAN,100,Information Technology,0,USD,NONE,,02/10/26
MODR,Filled,ICBI,Buy,MSFT,UW,150,MKT,GTC,150,419.8,,,,,,0.00119393177014235,12563532,,35.5249743262538,0.04,MAN,100,Information Technology,0,USD,NONE,,02/10/26
MODR,Filled,ICBI,Buy,CRM,UN,150,MKT,GTC,150,191.9,,,,,,0.00262401625630551,5716428,,53.8584991337967,0.04,MAN,100,Information Technology,0,USD,NONE,,02/10/26
MODR,Filled,BTIA,Sell,APLD,UW,500,MKT,DAY,500,37.6,,,,,,0.00985103074289972,5075611,,105.947151722873,0.04,ANY,100,Information Technology,0,USD,CARE,,02/10/26
MODR,Filled,ICBI,Buy,3067,HK,20500,MKT,DAY,20500,11.45,,,,,,0.0473608238657891,43284720,,28.23357,0.005,AUTO,100,,0,HKD,NONE,,02/10/26
MODR,Filled,ICBI,Buy,SPY,UP,44,MKT,DAY,44,689.62,,,,,,0.000405370719814945,10854262,,14.9237476209207,0.02,AUTO,100,,0,USD,NONE,,02/09/26
MODR,Filled,ICBI,Sell,SPGP,UP,530,MKT,DAY,530,117.08,,,,,,5.28667746952139,10025.2001953125,,18.2574147658192,0.06,AUTO,100,,0,USD,NONE,,02/09/26
MODR,Filled,BTIA,Buy,INFL,UP,629,MKT,DAY,629,49.57,,,,,,1.50285037023874,41853.80078125,,16.7350005960293,0.13,ANY,100,,0,USD,CARE,,02/09/26
MODR,Filled,ICBI,Buy,ISRG,UW,109,MKT,DAY,109,485.13,,,,,,0.0116679603562314,934182.125,,38.4410178463567,0.07,AUTO,100,Health Care,0,USD,NONE,,02/09/26
MODR,Filled,BTIA,Buy,INFL,UP,527,MKT,DAY,527,49.57,,,,,,1.25914490479462,41853.80078125,,16.7350005960293,0.13,ANY,100,,0,USD,CARE,,02/09/26
MODR,Filled,BTIA,Sell,LOT,AU,1367,MKT,DAY,1367,2.285,,,,,,0.0286040471692665,4779044,,101.8456,,MAN,100,Energy,0,AUD,CARE,,02/09/26
MODR,Filled,BTIA,Buy,LTSRF,US,1367,MKT,DAY,1367,1.65,,,,,,2.30345630343024,59345.6015625,,94.2933944838842,,MAN,100,Energy,0,USD,CARE,,02/07/26
MODR,Filled,ICBI,Buy,ISRG,UW,164,MKT,DAY,164,481.86,,,,,,0.0175554632882748,934182.125,,38.4410178463567,0.07,AUTO,100,Health Care,0,USD,NONE,,02/06/26
MODR,Filled,ICBI,Buy,MSFT,UW,131,MKT,DAY,131,398.61,,,,,,0.00104270041259098,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/06/26
MODR,Filled,BTIA,Buy,PAVE,UF,3040,50,GTC,3040,50,,,,,,1.93337987913593,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,02/06/26
MODR,Filled,BTIA,Buy,ARCC,UW,153061,MKT,DAY,153061,19.05,,,,,,12.4420011120179,1230196,,18.313184319154,0.01,ANY,100,Financials,0,USD,CARE,,02/06/26
MODR,Filled,BTIA,Buy,PAVE,UF,620,50,GTC,620,50,,,,,,0.394307738507986,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,02/05/26
MODR,Filled,ICBI,Buy,KO,UN,250,MKT,DAY,250,77.82,,,,,,0.004034070793747,6197214,,21.9640427680401,0.01,AUTO,100,Consumer Staples,0,USD,NONE,,02/05/26
MODR,Filled,ICBI,Sell,META,UW,60,MKT,DAY,60,664,,,,,,0.00110378392767345,5435846.5,,39.7370115569344,0.29,AUTO,100,Communication Services,0,USD,NONE,,02/05/26
MODR,Filled,ICBI,Sell,SLV,UP,100,MKT,DAY,100,68.3,,,,,,0.00214325150113335,4665808,,57.1906227997258,0.04,AUTO,100,,0,USD,NONE,,02/05/26
MODR,Filled,ICBI,Sell,GOOG,UW,100,MKT,DAY,100,312.54,,,,,,0.001187907481964,8418164,,32.7753573050057,0.06,AUTO,100,Communication Services,0,USD,NONE,,02/05/26
MODR,Filled,ICBI,Sell,COPX,UP,200,MKT,DAY,200,84.12,,,,,,0.025989347453779,769546.0625,,61.5701222033281,0.07,AUTO,100,,0,USD,NONE,,02/05/26
MODR,Filled,ICBI,Buy,9888,HK,600,MKT,DAY,600,140.1,,,,,,0.00434376561040766,13812900,,43.16741,0.1,AUTO,100,Communication Services,0,HKD,NONE,,05/08/26
